GameID,AppID,Name,Playtime (Hours),Release Date,Short Description,Genres,Price (USD),Cover Image Path,Ranking,Cover Path,Release Year,Enjoyment Score,Gameplay Score,Music Score,Narrative Score,MetaCritic Score,Rating Deviation,Enjoyment Order,Gameplay Order,Music Order,Narrative Order,MetaCritic Order
15,2141730,Backrooms: Escape Together,1.12,18-Oct-22,"A visually lifelike co-op horror for 1-6 people. Journey through 10 procedurally generated levels, using what's available to survive and progress deeper into the Backrooms.","Action, Adventure, Casual, Indie, Early Access",9.99 USD,C:/Users/jakob/Downloads/SteamData\Backrooms Escape Together.png,,,,,,,,,,,,,,
16,1086940,Baldur's Gate 3,176.77,3-Aug-23,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.","Adventure, RPG, Strategy",59.99 USD,C:/Users/jakob/Downloads/SteamData\Baldur's Gate 3.png,4,,2023,9.5,10,9,9,9.6,-0.1,3,3,3,3,3
17,2062430,BALL x PIT,19.52,15-Oct-25,"BALL x PIT is a brick-breaking, ball-fusing, base-building survival roguelite. Batter hordes of enemies with ricocheting balls and gather the riches of the pit to expand your homestead, generate resources and recruit unique heroes.","Action, Indie",14.99 USD,C:/Users/jakob/Downloads/SteamData\BALL x PIT.png,,,,,,,,,,,,,,
18,242920,Banished,27.55,18-Feb-14,"In this city-building strategy game, you control a group of exiled travelers who decide to restart their lives in a new land. They have only the clothes on their backs and a cart filled with supplies from their homeland. The townspeople of Banished are your primary resource.","Indie, Simulation, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\Banished.png,126,,2014,7,,,,,,125,125,125,125,125
19,209000,Batman™: Arkham Origins,0.18,24-Oct-13,"As of December 4, 2016, the online services portion of Batman: Arkham Origins has been retired. We thank those that have joined us to battle. The Single player campaign may still be played and enjoyed offline. For any questions relating to Batman: Arkham Origins, please contact WB Games customer service.","Action, Adventure",3.99 USD,C:/Users/jakob/Downloads/SteamData\Batman™ Arkham Origins.png,,,,,,,,,,,,,,
20,284160,BeamNG.drive,2.18,29-May-15,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"Racing, Simulation, Early Access",24.99 USD,C:/Users/jakob/Downloads/SteamData\BeamNG.drive.png,,,,,,,,,,,,,,
21,620980,Beat Saber,35.13,21-May-19,"Beat Saber is a VR rhythm game where you slash the beats of adrenaline-pumping music as they fly towards you, surrounded by a futuristic world.",Indie,29.99 USD,C:/Users/jakob/Downloads/SteamData\Beat Saber.png,,,,,,,,,,,,,,
22,1812450,Bellwright,10.75,23-Apr-24,"Establish and expand your own settlements, liberate the land and assist its villagers, and recruit others to your cause while learning more about a life you had to leave behind. Command your forces, prove your valor through combat, and cement yourself as the hero of your people.","Action, RPG, Simulation, Strategy, Early Access",29.99 USD,C:/Users/jakob/Downloads/SteamData\Bellwright.png,,,,,,,,,,,,,,
23,346010,Besiege,10.27,18-Feb-20,"Besiege is a physics building game about constructing mechanical machines to annihilate armies, obliterate castles and overcome challenging obstacles. Conquer the campaign or skirmish with friends in Multiplayer!","Indie, Simulation",2.99 USD,C:/Users/jakob/Downloads/SteamData\Besiege.png,,,,,,,,,,,,,,
24,8870,BioShock Infinite,7.7,25-Mar-13,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",Action,29.99 USD,C:/Users/jakob/Downloads/SteamData\BioShock Infinite.png,56,,2013,8.5,,,,9.4,-0.9,55,55,55,55,55
25,2358720,Black Myth: Wukong,3.43,19-Aug-24,"Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.","Action, Adventure, RPG",59.99 USD,C:/Users/jakob/Downloads/SteamData\Black Myth Wukong.png,,,,,,,,,,,,,,
26,420290,Blackwake,0,19-Feb-20,"Blackwake is a multiplayer naval FPS focused on teamwork and cooperation. Fire the cannons, sink enemy ships or board them with firearms and steel.","Action, Casual, Indie, Strategy, Free To Play",Free or Unknown,C:/Users/jakob/Downloads/SteamData\Blackwake.png,,,,,,,,,,,,,,
27,629730,Blade & Sorcery,24.17,17-Jun-24,"Blade & Sorcery is a built-for-VR medieval fantasy with full physics driven melee, ranged and magic combat. Become a powerful warrior, ranger or sorcerer and devastate your enemies.","Action, Adventure, Indie, RPG, Simulation",29.99 USD,C:/Users/jakob/Downloads/SteamData\Blade & Sorcery.png,90,,2018,8,,,,8.2,-0.2,89,89,89,89,89
28,1263070,Blightbound,1.95,27-Jul-21,Blightbound is a multiplayer dungeon crawler that tasks three heroes to venture down from their mountain refuge to face the abominations of the Blight - a mysterious and corrupting fog that enshrouds the land.,"Action, Adventure, Indie, RPG",19.99 USD,C:/Users/jakob/Downloads/SteamData\Blightbound.png,,,,,,,,,,,,,,
29,960090,Bloons TD 6,344.93,17-Dec-18,The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,Strategy,13.99 USD,C:/Users/jakob/Downloads/SteamData\Bloons TD 6.png,60,,2018,8,,,,8,0,59,59,59,59,59
30,823500,BONEWORKS,3.97,10-Dec-19,"BONEWORKS is an Experimental Physics VR Adventure. Use found physics weapons, tools, and objects to fight across dangerous playscapes and mysterious architecture.","Action, Adventure, Indie, Simulation",29.99 USD,C:/Users/jakob/Downloads/SteamData\BONEWORKS.png,,,,,,,,,,,,,,
31,49520,Borderlands 2,0.85,17-Sep-12,The Ultimate Vault Hunter’s Upgrade lets you get the most out of the Borderlands 2 experience.,"Action, RPG",4.99 USD,C:/Users/jakob/Downloads/SteamData\Borderlands 2.png,,,,,,,,,,,,,,
32,397540,Borderlands 3,87.23,13-Mar-20,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters.","Action, RPG",5.99 USD,C:/Users/jakob/Downloads/SteamData\Borderlands 3.png,61,,2019,8,,,,8.1,-0.1,60,60,60,60,60
33,1285190,Borderlands® 4,31.93,11-Sep-25,"Borderlands 4 is a mayhem-fueled looter shooter, jam-packed with billions of weapons, deadly enemies, and intense co-op action. Break free from a dangerous hidden planet as one of four new badass Vault Hunters.","Action, Adventure, RPG",55.99 USD,C:/Users/jakob/Downloads/SteamData\Borderlands® 4.png,,,,,,,,,,,,,,
34,10090,Call of Duty: World at War,18.03,18-Nov-08,"Call of Duty is back, redefining war like you've never experienced before. Building on the Call of Duty 4®: Modern Warfare engine, Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced.",Action,14.99 USD,C:/Users/jakob/Downloads/SteamData\Call of Duty World at War.png,,,,,,,,,,,,,,
35,2305840,Cat Quest III,7.7,8-Aug-24,"In Cat Quest III you play as a purrivateer in a freely explorable 2.5D open-world swarming with Pi-rats. You can sail the seas in your ship for treasures galore! But prepare for peril, as the Pirate King aims to hunt you down...","Action, Adventure, Indie, RPG",19.99 USD,C:/Users/jakob/Downloads/SteamData\Cat Quest III.png,91,,2024,8,,,,8,0,90,90,90,90,90
36,255710,Cities: Skylines,66.22,10-Mar-15,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,"Simulation, Strategy",29.99 USD,C:/Users/jakob/Downloads/SteamData\Cities Skylines.png,92,,2015,8,,,,8.5,-0.5,91,91,91,91,91
37,1903340,Clair Obscur: Expedition 33,48.8,24-Apr-25,Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.,"Action, RPG",49.99 USD,C:/Users/jakob/Downloads/SteamData\Clair Obscur Expedition 33.png,3,,2024,10,9,10,9.5,9.2,0.8,2,2,2,2,2
38,527450,Cockroach Simulator,0.72,16-Sep-16,This game is about the hard life in the kitchen. In this unusual place many interests intertwine. But the only war between humans and cockroaches is truly epic and destructive.,"Indie, Simulation",1.99 USD,C:/Users/jakob/Downloads/SteamData\Cockroach Simulator.png,,,,,,,,,,,,,,
39,231430,Company of Heroes 2,0.32,25-Jun-13,"Experience the ultimate WWII RTS platform with COH2 and its standalone expansions. This package includes the base game, which you can then upgrade by purchasing The Western Front Armies, Ardennes Assault and/or The British Forces. More info in the ""About This Game"" section below.",Strategy,4.99 USD,C:/Users/jakob/Downloads/SteamData\Company of Heroes 2.png,,,,,,,,,,,,,,
40,2881650,Content Warning,3.23,1-Apr-24,Film your friends doing scary things to become SpöökTube famous! (strongly advised to not go alone),"Action, Adventure, Indie",7.99 USD,C:/Users/jakob/Downloads/SteamData\Content Warning.png,127,,2024,7,,,,,,126,126,126,126,126
41,1621690,Core Keeper,35.27,27-Aug-24,"Explore a vast cavern of creatures, relics and resources in a mining sandbox adventure for 1-8 players. Mine, build, fight, craft and farm to unravel the mystery of the ancient Core.","Action, Adventure, Indie, RPG, Simulation",11.99 USD,C:/Users/jakob/Downloads/SteamData\Core Keeper.png,93,,2022,8,,,,8.5,-0.5,92,92,92,92,92
42,730,Counter-Strike 2,0.2,21-Aug-12,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","Action, Free To Play",Free or Unknown,C:/Users/jakob/Downloads/SteamData\Counter-Strike 2.png,,,,,,,,,,,,,,
43,884660,CRSED: Cuisine Royale,20.18,15-Jun-18,"CRSED: Cuisine Royale – is a brutal MMO last-man-standing shooter with realistic weaponry, elements of lethal mystic forces and incredible superpowers!","Action, Massively Multiplayer, Free To Play",Free or Unknown,C:/Users/jakob/Downloads/SteamData\CRSED Cuisine Royale.png,,,,,,,,,,,,,,
44,829590,CryoFall,1.6,29-Apr-21,"CryoFall is a sci-fi colony simulation survival game set on a forgotten planet in a distant future. Master technology, agriculture, trading, industry, cybernetics, exploration, and more!","Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\CryoFall.png,,,,,,,,,,,,,,
45,1313140,Cult of the Lamb,19.2,11-Aug-22,"Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland Followers and spread your Word to become the one true cult.","Action, Adventure, Indie, Strategy",24.99 USD,C:/Users/jakob/Downloads/SteamData\Cult of the Lamb.png,94,,2022,7.5,,,,8.2,-0.7,93,93,93,93,93
46,268910,Cuphead,14.8,29-Sep-17,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.","Action, Indie",19.99 USD,C:/Users/jakob/Downloads/SteamData\Cuphead.png,36,,2017,8.5,,,,8.6,-0.1,35,35,35,35,35
47,1091500,Cyberpunk 2077,95.52,9-Dec-20,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",RPG,20.99 USD,C:/Users/jakob/Downloads/SteamData\Cyberpunk 2077.png,,,,,,,,,,,,,,
48,1868140,DAVE THE DIVER,45.22,28-Jun-23,"DAVE THE DIVER is a casual, singleplayer adventure RPG featuring deep-sea exploration and fishing during the day and sushi restaurant management at night. Join Dave and his quirky friends as they seek to uncover the secrets of the mysterious Blue Hole.","Adventure, Casual, RPG, Simulation",19.99 USD,C:/Users/jakob/Downloads/SteamData\DAVE THE DIVER.png,19,,2023,9,,,,9,0,18,18,18,18,18
49,588650,Dead Cells,28.15,6-Aug-18,"Dead Cells is a roguelite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat.","Action, Adventure, Indie",24.99 USD,C:/Users/jakob/Downloads/SteamData\Dead Cells.png,62,,2017,8,,,,8.9,-0.9,61,61,61,61,61
50,91310,Dead Island,10.7,,,,,C:/Users/jakob/Downloads/SteamData\Dead Island.png,,,,,,,,,,,,,,
51,1422450,Deadlock,1.9,To be announced,Deadlock is a multiplayer game in early development.,Action,Free or Unknown,C:/Users/jakob/Downloads/SteamData\Deadlock.png,,,,,,,,,,,,,,
52,895400,Deadside,8.1,5-Dec-24,"An Open World Survival Shooter blending hardcore PVP and PVE action. Secure precious loot in safe zones or build your own fortress in the wild. With intense gunfights, stunning visuals, and performance smooth enough for any system, the challenge awaits!","Action, Adventure, Indie, Massively Multiplayer",24.99 USD,C:/Users/jakob/Downloads/SteamData\Deadside.png,144,,2023,6.5,,,,,,143,143,143,143,143
53,548430,Deep Rock Galactic,6.62,13-May-20,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.",Action,29.99 USD,C:/Users/jakob/Downloads/SteamData\Deep Rock Galactic.png,128,,2020,7,,,,,,127,127,127,127,127
54,601150,Devil May Cry 5,0.8,7-Mar-19,"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.",Action,29.99 USD,C:/Users/jakob/Downloads/SteamData\Devil May Cry 5.png,,,,,,,,,,,,,,
55,2501600,DICEOMANCER,5.6,9-Oct-24,"DICEOMANCER is a roguelike deck-building game. Though you long for a peaceful life, you're forced to embark on an adventure. In this world of swords, magic, and guns, make good use of your dice and deck to find a way back to tranquility! What can the dice be used for? To change... anything.","Casual, Indie, Strategy",14.99 USD,C:/Users/jakob/Downloads/SteamData\DICEOMANCER.png,,,,,,,,,,,,,,
56,1062520,Dinkum,59.12,22-Apr-25,"Dinkum is a survival life simulation game set on an island inspired by the rugged Australian outback. Farm, hunt, mine, fish, and forage to gather resources, expand your town, and discover what makes Dinkum so special—either solo or with friends.","Adventure, Casual, Indie, RPG, Simulation",19.99 USD,C:/Users/jakob/Downloads/SteamData\Dinkum.png,145,,2022,6.5,,,,,,144,144,144,144,144
57,310560,DiRT Rally,20.58,7-Dec-15,"DiRT Rally is the most authentic and thrilling rally game ever made, road-tested over 80 million miles by the DiRT community. It perfectly captures that white knuckle feeling of racing on the edge as you hurtle along dangerous roads, knowing that one crash could irreparably harm your stage time.","Racing, Simulation, Sports",Free or Unknown,C:/Users/jakob/Downloads/SteamData\DiRT Rally.png,129,,2015,7,,,,,,128,128,128,128,128
58,2592160,Dispatch,9.98,22-Oct-25,"Dispatch is a superhero workplace comedy where choices matter. Manage a dysfunctional team of misfit heroes and strategize who to send to emergencies around the city, all while balancing office politics, personal relationships, and your own quest to become a hero. All episodes out now!","Action, Adventure, Casual, Indie, Strategy",29.99 USD,C:/Users/jakob/Downloads/SteamData\Dispatch.png,,,,,,,,,,,,,,
59,435150,Divinity: Original Sin 2,103.93,14-Sep-17,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","Adventure, RPG, Strategy",44.99 USD,C:/Users/jakob/Downloads/SteamData\Divinity Original Sin 2.png,31,,2017,9,,,,9.3,-0.3,30,30,30,30,30
60,220440,DmC Devil May Cry,0,24-Jan-13,"In this retelling of Dante's origin story which is set against a contemporary backdrop, DmC Devil May Cry™ retains the stylish action.","Action, Adventure",29.99 USD,C:/Users/jakob/Downloads/SteamData\DmC Devil May Cry.png,,,,,,,,,,,,,,
61,322330,Don't Starve Together,2.45,21-Apr-16,"Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.","Action, Adventure, Indie, RPG, Simulation, Strategy",14.99 USD,C:/Users/jakob/Downloads/SteamData\Don't Starve Together.png,,,,,,,,,,,,,,
62,248610,Door Kickers,0.95,20-Oct-14,Door Kickers is an innovative realtime strategy game that puts you in charge of a SWAT team and lets you command them during a tactical intervention.,"Action, Indie, Simulation, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\Door Kickers.png,,,,,,,,,,,,,,
63,1418630,Dread Hunger,0.87,26-Jan-22,"A game of survival and betrayal. Eight Explorers path their ship through the unforgiving Arctic. Among the crew, two traitors call on dark powers to undermine them. Note: Official server support ends 2024-01-01","Action, Adventure, Indie",Free or Unknown,C:/Users/jakob/Downloads/SteamData\Dread Hunger.png,,,,,,,,,,,,,,
64,382310,Eco,216.33,6-Feb-18,"Build a civilization of real people, working together to advance society and stop a meteor, all without destroying the ecosystem in the process.","Indie, Simulation, Early Access",29.99 USD,C:/Users/jakob/Downloads/SteamData\Eco.png,95,,2018,7.5,,,,-,,94,94,94,94,94
65,1245620,ELDEN RING,76.38,24-Feb-22,"THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Action, RPG",59.99 USD,C:/Users/jakob/Downloads/SteamData\ELDEN RING.png,57,,2022,8.5,,,,9.6,-1.1,56,56,56,56,56
66,383120,Empyrion - Galactic Survival,0.45,5-Aug-20,"Build and explore in a true space sandbox survival adventure. Construct mighty capital vessels, sprawling planetary settlements, and vast space stations in your galactic journey to discover the mysteries of Empyrion!","Adventure, Indie, Simulation, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\Empyrion - Galactic Survival.png,,,,,,,,,,,,,,
67,1203620,Enshrouded,44.42,24-Jan-24,"You are Flameborn, last ember of hope of a dying race. Awaken, survive the terror of a corrupting fog, and reclaim the lost beauty of your kingdom. Venture into a vast world, vanquish punishing bosses, build grand halls and forge your path in this co-op survival action RPG for up to 16 players.","Action, Adventure, Indie, RPG, Early Access",29.99 USD,C:/Users/jakob/Downloads/SteamData\Enshrouded.png,96,,2024,7.5,,,,-,,95,95,95,95,95
68,8500,EVE Online,12.27,15-Dec-10,"Over 20 years of legendary space battles! Explore a massive living universe of danger and opportunity in a challenging and highly rewarding space adventure. Fight, trade, build, and connect with a universe driven and shaped directly by players.","Action, Massively Multiplayer, RPG, Strategy, Free To Play",Free or Unknown,C:/Users/jakob/Downloads/SteamData\EVE Online.png,,,,,,,,,,,,,,
69,427520,Factorio,9.88,14-Aug-20,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.","Casual, Indie, Simulation, Strategy",35.00 USD,C:/Users/jakob/Downloads/SteamData\Factorio.png,,,,,,,,,,,,,,
70,377160,Fallout 4,100.5,9-Nov-15,"From Bethesda Game Studios, the award-winning creators of Starfield and The Elder Scrolls V: Skyrim, comes Fallout 4. A landmark in open-world RPG design and winner of over 200 ‘Best Of’ honors, including the DICE and BAFTA Game of the Year.",RPG,19.99 USD,C:/Users/jakob/Downloads/SteamData\Fallout 4.png,63,,2015,8,,,,8.7,-0.7,62,62,62,62,62
71,22380,Fallout: New Vegas,41.18,19-Oct-10,Welcome to Vegas. New Vegas. Enjoy your stay!,"Action, RPG",9.99 USD,C:/Users/jakob/Downloads/SteamData\Fallout New Vegas.png,,,,,,,,,,,,,,
72,2993780,FANTASY LIFE i: The Girl Who Steals Time,5.8,21-May-25,"Step into this Slow-Life RPG where you can freely switch between 14 unique jobs, so called ""Lives,"" and enjoy a carefree life in a fantasy world. Fish, cook, shape the island to your liking, or team up with friends to battle monsters across the vast world.",RPG,59.99 USD,C:/Users/jakob/Downloads/SteamData\FANTASY LIFE i The Girl Who Steals Time.png,,,,,,,,,,,,,,
73,552520,Far Cry 5,79.52,26-Mar-18,"Discover the open world of Hope County, Montana, besieged by a fanatical doomsday cult. Dive into the action solo or two-player co-op in the story campaign, use a vast arsenal of weapons and allies, and free Hope County from Joseph Seed and his cult.","Action, Adventure",59.99 USD,C:/Users/jakob/Downloads/SteamData\Far Cry 5.png,97,,2017,7.5,,,,8.1,-0.6,96,96,96,96,96
74,313160,Farming Simulator 15,35.77,30-Oct-14,"Welcome to the new generation of Farming Simulator!With a brand new graphics and physics engine, Farming Simulator 15 offers an immense open world, filled with details and visual effects transporting the Farming Simulator franchise to a new era.",Simulation,12.99 USD,C:/Users/jakob/Downloads/SteamData\Farming Simulator 15.png,,,,,,,,,,,,,,
75,447020,Farming Simulator 17,27.68,24-Oct-16,"Take on the role of a modern farmer in Farming Simulator 17! Explore farming possibilities in a new North American environment. Drive over 250 farming vehicles and equipment from over 75 manufacturers, including new brands such as Challenger, Fendt, Valtra or Massey Ferguson.",Simulation,14.99 USD,C:/Users/jakob/Downloads/SteamData\Farming Simulator 17.png,,,,,,,,,,,,,,
76,1248130,Farming Simulator 22,106.7,21-Nov-21,"Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.",Simulation,29.99 USD,C:/Users/jakob/Downloads/SteamData\Farming Simulator 22.png,130,,2008,7,,,,,,129,129,129,129,129
77,246840,FATE,0.5,12-Dec-13,"Play (or Re-play) This Classic Dungeon Crawler!During the golden days of action RPGs, FATE was a powerhouse, winning runner-up for PC Magazine’s Role-Playing Game of the year. Popular enough to spawn 3 sequels, this was one of the premier dungeon crawlers of its time.","Action, Adventure, RPG",7.99 USD,C:/Users/jakob/Downloads/SteamData\FATE.png,98,,2005,7.5,,,,8,-0.5,97,97,97,97,97
78,303690,FATE: The Cursed King,6.25,19-Nov-14,"Are you ready for the FATE-IEST of the FATE games? Welcome to the final chapter in the classic, action RPG series! FATE: The Cursed King has new weapons, spells, armor and AI-controlled allies! Wait, what?! Allies?? That’s right. This FATE game IS A PARTY. Woo! Party system!","Action, Adventure, RPG",7.99 USD,C:/Users/jakob/Downloads/SteamData\FATE The Cursed King.png,,,,,,,,,,,,,,
79,303680,FATE: The Traitor Soul,14.65,27-Aug-14,"IT’S HERE, FATE FANS! FATE - The Traitor Soul has arrived on Steam! This third game has more loot, more spells, more heroes and, most importantly, more pets. Hit “add to cart” already! Or read on for more details on this classic game.","Action, Adventure, RPG",7.99 USD,C:/Users/jakob/Downloads/SteamData\FATE The Traitor Soul.png,,,,,,,,,,,,,,
80,276890,FATE: Undiscovered Realms,0,17-Apr-14,"FATE fans! You asked for it and we delivered. FATE: Undiscovered Realms, the dungeon crawl-ier sequel to our classic dungeon crawler, is now available! Take up the quest to find a mysterious tome. Import your characters from the original FATE and start a new adventure today!","Action, Adventure, RPG",7.99 USD,C:/Users/jakob/Downloads/SteamData\FATE Undiscovered Realms.png,,,,,,,,,,,,,,
